region,category,product,price,unit
Самарская область,Овцеводство,Баранина,637.0,руб/кг
Самарская область,Птицеводство,Яйца,8.82,руб/шт
Самарская область,Пчеловодство,Мёд,441.0,руб/кг
Саратовская область,Молочное животноводство,Молоко,44.1,руб/л
Саратовская область,Молочное животноводство,Козье молоко,83.3,руб/л
Саратовская область,Мясное животноводство,Говядина,411.6,руб/кг
Саратовская область,Мясное животноводство,Свинина,284.2,руб/кг
Саратовская область,Птицеводство,Мясо птицы,215.6,руб/кг
Саратовская область,Овцеводство,Баранина,637.0,руб/кг
Саратовская область,Птицеводство,Яйца,8.82,руб/шт
Саратовская область,Пчеловодство,Мёд,441.0,руб/кг
Ульяновская область,Молочное животноводство,Молоко,44.1,руб/л
Ульяновская область,Молочное животноводство,Козье молоко,83.3,руб/л
Ульяновская область,Мясное животноводство,Говядина,411.6,руб/кг
Ульяновская область,Мясное животноводство,Свинина,284.2,руб/кг
Ульяновская область,Птицеводство,Мясо птицы,215.6,руб/кг
Ульяновская область,Овцеводство,Баранина,637.0,руб/кг
Ульяновская область,Птицеводство,Яйца,8.82,руб/шт
Ульяновская область,Пчеловодство,Мёд,441.0,руб/кг
Курганская область,Молочное животноводство,Молоко,47.25,руб/л
Курганская область,Молочное животноводство,Козье молоко,89.25,руб/л
Курганская область,Мясное животноводство,Говядина,441.0,руб/кг
Курганская область,Мясное животноводство,Свинина,304.5,руб/кг
Курганская область,Птицеводство,Мясо птицы,231.0,руб/кг
Курганская область,Овцеводство,Баранина,682.5,руб/кг
Курганская область,Птицеводство,Яйца,9.45,руб/шт
Курганская область,Пчеловодство,Мёд,472.5,руб/кг
Свердловская область,Молочное животноводство,Молоко,47.25,руб/л
Свердловская область,Молочное животноводство,Козье молоко,89.25,руб/л
Свердловская область,Мясное животноводство,Говядина,441.0,руб/кг
Свердловская область,Мясное животноводство,Свинина,304.5,руб/кг
Свердловская область,Птицеводство,Мясо птицы,231.0,руб/кг
Свердловская область,Овцеводство,Баранина,682.5,руб/кг
Свердловская область,Птицеводство,Яйца,9.45,руб/шт
Свердловская область,Пчеловодство,Мёд,472.5,руб/кг
Тюменская область,Молочное животноводство,Молоко,47.25,руб/л
Тюменская область,Молочное животноводство,Козье молоко,89.25,руб/л
Тюменская область,Мясное животноводство,Говядина,441.0,руб/кг
Тюменская область,Мясное животноводство,Свинина,304.5,руб/кг
Тюменская область,Птицеводство,Мясо птицы,231.0,руб/кг
Тюменская область,Овцеводство,Баранина,682.5,руб/кг
Тюменская область,Птицеводство,Яйца,9.45,руб/шт
Тюменская область,Пчеловодство,Мёд,472.5,руб/кг
Челябинская область,Молочное животноводство,Молоко,47.25,руб/л
Челябинская область,Молочное животноводство,Козье молоко,89.25,руб/л
Челябинская область,Мясное животноводство,Говядина,441.0,руб/кг
Челябинская область,Мясное животноводство,Свинина,304.5,руб/кг
Челябинская область,Птицеводство,Мясо птицы,231.0,руб/кг
Челябинская область,Овцеводство,Баранина,682.5,руб/кг
Челябинская область,Птицеводство,Яйца,9.45,руб/шт
Челябинская область,Пчеловодство,Мёд,472.5,руб/кг
Ханты-Мансийский автономный округ,Молочное животноводство,Молоко,47.25,руб/л
Ханты-Мансийский автономный округ,Молочное животноводство,Козье молоко,89.25,руб/л
Ханты-Мансийский автономный округ,Мясное животноводство,Говядина,441.0,руб/кг
Ханты-Мансийский автономный округ,Мясное животноводство,Свинина,304.5,руб/кг
Ханты-Мансийский автономный округ,Птицеводство,Мясо птицы,231.0,руб/кг
Ханты-Мансийский автономный округ,Овцеводство,Баранина,682.5,руб/кг
Ханты-Мансийский автономный округ,Птицеводство,Яйца,9.45,руб/шт
Ханты-Мансийский автономный округ,Пчеловодство,Мёд,472.5,руб/кг
Ямало-Ненецкий автономный округ,Молочное животноводство,Молоко,47.25,руб/л
Ямало-Ненецкий автономный округ,Молочное животноводство,Козье молоко,89.25,руб/л
Ямало-Ненецкий автономный округ,Мясное животноводство,Говядина,441.0,руб/кг
Ямало-Ненецкий автономный округ,Мясное животноводство,Свинина,304.5,руб/кг
Ямало-Ненецкий автономный округ,Птицеводство,Мясо птицы,231.0,руб/кг
Ямало-Ненецкий автономный округ,Овцеводство,Баранина,682.5,руб/кг
Ямало-Ненецкий автономный округ,Птицеводство,Яйца,9.45,руб/шт
Ямало-Ненецкий автономный округ,Пчеловодство,Мёд,472.5,руб/кг
Республика Алтай,Молочное животноводство,Молоко,49.5,руб/л
Республика Алтай,Молочное животноводство,Козье молоко,93.5,руб/л
Республика Алтай,Мясное животноводство,Говядина,462.0,руб/кг
Республика Алтай,Мясное животноводство,Свинина,319.0,руб/кг
Республика Алтай,Птицеводство,Мясо птицы,242.0,руб/кг
Республика Алтай,Овцеводство,Баранина,715.0,руб/кг
Республика Алтай,Птицеводство,Яйца,9.9,руб/шт
Республика Алтай,Пчеловодство,Мёд,495.0,руб/кг
Республика Тыва,Молочное животноводство,Молоко,49.5,руб/л
Республика Тыва,Молочное животноводство,Козье молоко,93.5,руб/л
Республика Тыва,Мясное животноводство,Говядина,462.0,руб/кг
Республика Тыва,Мясное животноводство,Свинина,319.0,руб/кг
Республика Тыва,Птицеводство,Мясо птицы,242.0,руб/кг
Республика Тыва,Овцеводство,Баранина,715.0,руб/кг
Республика Тыва,Птицеводство,Яйца,9.9,руб/шт
Республика Тыва,Пчеловодство,Мёд,495.0,руб/кг
Республика Хакасия,Молочное животноводство,Молоко,49.5,руб/л
Республика Хакасия,Молочное животноводство,Козье молоко,93.5,руб/л
Республика Хакасия,Мясное животноводство,Говядина,462.0,руб/кг
Республика Хакасия,Мясное животноводство,Свинина,319.0,руб/кг
Республика Хакасия,Птицеводство,Мясо птицы,242.0,руб/кг
Республика Хакасия,Овцеводство,Баранина,715.0,руб/кг
Республика Хакасия,Птицеводство,Яйца,9.9,руб/шт
Республика Хакасия,Пчеловодство,Мёд,495.0,руб/кг
Алтайский край,Молочное животноводство,Молоко,49.5,руб/л
Алтайский край,Молочное животноводство,Козье молоко,93.5,руб/л
Алтайский край,Мясное животноводство,Говядина,462.0,руб/кг
Алтайский край,Мясное животноводство,Свинина,319.0,руб/кг
Алтайский край,Птицеводство,Мясо птицы,242.0,руб/кг
Алтайский край,Овцеводство,Баранина,715.0,руб/кг
Алтайский край,Птицеводство,Яйца,9.9,руб/шт
Алтайский край,Пчеловодство,Мёд,495.0,руб/кг
Красноярский край,Молочное животноводство,Молоко,49.5,руб/л
Красноярский край,Молочное животноводство,Козье молоко,93.5,руб/л
Красноярский край,Мясное животноводство,Говядина,462.0,руб/кг
Красноярский край,Мясное животноводство,Свинина,319.0,руб/кг
Красноярский край,Птицеводство,Мясо птицы,242.0,руб/кг
Красноярский край,Овцеводство,Баранина,715.0,руб/кг
Красноярский край,Птицеводство,Яйца,9.9,руб/шт
Красноярский край,Пчеловодство,Мёд,495.0,руб/кг
Иркутская область,Молочное животноводство,Молоко,49.5,руб/л
Иркутская область,Молочное животноводство,Козье молоко,93.5,руб/л
Иркутская область,Мясное животноводство,Говядина,462.0,руб/кг
Иркутская область,Мясное животноводство,Свинина,319.0,руб/кг
Иркутская область,Птицеводство,Мясо птицы,242.0,руб/кг
Иркутская область,Овцеводство,Баранина,715.0,руб/кг
Иркутская область,Птицеводство,Яйца,9.9,руб/шт
Иркутская область,Пчеловодство,Мёд,495.0,руб/кг
Кемеровская область,Молочное животноводство,Молоко,49.5,руб/л
Кемеровская область,Молочное животноводство,Козье молоко,93.5,руб/л
Кемеровская область,Мясное животноводство,Говядина,462.0,руб/кг
Кемеровская область,Мясное животноводство,Свинина,319.0,руб/кг
Кемеровская область,Птицеводство,Мясо птицы,242.0,руб/кг
Кемеровская область,Овцеводство,Баранина,715.0,руб/кг
Кемеровская область,Птицеводство,Яйца,9.9,руб/шт
Кемеровская область,Пчеловодство,Мёд,495.0,руб/кг
Новосибирская область,Молочное животноводство,Молоко,49.5,руб/л
Новосибирская область,Молочное животноводство,Козье молоко,93.5,руб/л
Новосибирская область,Мясное животноводство,Говядина,462.0,руб/кг
Новосибирская область,Мясное животноводство,Свинина,319.0,руб/кг
Новосибирская область,Птицеводство,Мясо птицы,242.0,руб/кг
Новосибирская область,Овцеводство,Баранина,715.0,руб/кг
Новосибирская область,Птицеводство,Яйца,9.9,руб/шт
Новосибирская область,Пчеловодство,Мёд,495.0,руб/кг
Омская область,Молочное животноводство,Молоко,49.5,руб/л
Омская область,Молочное животноводство,Козье молоко,93.5,руб/л
Омская область,Мясное животноводство,Говядина,462.0,руб/кг
Омская область,Мясное животноводство,Свинина,319.0,руб/кг
Омская область,Птицеводство,Мясо птицы,242.0,руб/кг
Омская область,Овцеводство,Баранина,715.0,руб/кг
Омская область,Птицеводство,Яйца,9.9,руб/шт
Омская область,Пчеловодство,Мёд,495.0,руб/кг
Томская область,Молочное животноводство,Молоко,49.5,руб/л
Томская область,Молочное животноводство,Козье молоко,93.5,руб/л
Томская область,Мясное животноводство,Говядина,462.0,руб/кг
Томская область,Мясное животноводство,Свинина,319.0,руб/кг
Томская область,Птицеводство,Мясо птицы,242.0,руб/кг
Томская область,Овцеводство,Баранина,715.0,руб/кг
Томская область,Птицеводство,Яйца,9.9,руб/шт
Томская область,Пчеловодство,Мёд,495.0,руб/кг
Республика Бурятия,Молочное животноводство,Молоко,56.25,руб/л
Республика Бурятия,Молочное животноводство,Козье молоко,106.25,руб/л
Республика Бурятия,Мясное животноводство,Говядина,525.0,руб/кг
Республика Бурятия,Мясное животноводство,Свинина,362.5,руб/кг
Республика Бурятия,Птицеводство,Мясо птицы,275.0,руб/кг
Республика Бурятия,Овцеводство,Баранина,812.5,руб/кг
Республика Бурятия,Птицеводство,Яйца,11.25,руб/шт
Республика Бурятия,Пчеловодство,Мёд,562.5,руб/кг
Республика Саха (Якутия),Молочное животноводство,Молоко,56.25,руб/л
Республика Саха (Якутия),Молочное животноводство,Козье молоко,106.25,руб/л
Республика Саха (Якутия),Мясное животноводство,Говядина,525.0,руб/кг
Республика Саха (Якутия),Мясное животноводство,Свинина,362.5,руб/кг
Республика Саха (Якутия),Птицеводство,Мясо птицы,275.0,руб/кг
Республика Саха (Якутия),Овцеводство,Баранина,812.5,руб/кг
Республика Саха (Якутия),Птицеводство,Яйца,11.25,руб/шт
Республика Саха (Якутия),Пчеловодство,Мёд,562.5,руб/кг
Забайкальский край,Молочное животноводство,Молоко,56.25,руб/л
Забайкальский край,Молочное животноводство,Козье молоко,106.25,руб/л
Забайкальский край,Мясное животноводство,Говядина,525.0,руб/кг
Забайкальский край,Мясное животноводство,Свинина,362.5,руб/кг
Забайкальский край,Птицеводство,Мясо птицы,275.0,руб/кг
Забайкальский край,Овцеводство,Баранина,812.5,руб/кг
Забайкальский край,Птицеводство,Яйца,11.25,руб/шт
Забайкальский край,Пчеловодство,Мёд,562.5,руб/кг
Камчатский край,Молочное животноводство,Молоко,56.25,руб/л
Камчатский край,Молочное животноводство,Козье молоко,106.25,руб/л
Камчатский край,Мясное животноводство,Говядина,525.0,руб/кг
Камчатский край,Мясное животноводство,Свинина,362.5,руб/кг
Камчатский край,Птицеводство,Мясо птицы,275.0,руб/кг
Камчатский край,Овцеводство,Баранина,812.5,руб/кг
Камчатский край,Птицеводство,Яйца,11.25,руб/шт
Камчатский край,Пчеловодство,Мёд,562.5,руб/кг
Приморский край,Молочное животноводство,Молоко,56.25,руб/л
Приморский край,Молочное животноводство,Козье молоко,106.25,руб/л
Приморский край,Мясное животноводство,Говядина,525.0,руб/кг
Приморский край,Мясное животноводство,Свинина,362.5,руб/кг
Приморский край,Птицеводство,Мясо птицы,275.0,руб/кг
Приморский край,Овцеводство,Баранина,812.5,руб/кг
Приморский край,Птицеводство,Яйца,11.25,руб/шт
Приморский край,Пчеловодство,Мёд,562.5,руб/кг
Хабаровский край,Молочное животноводство,Молоко,56.25,руб/л
Хабаровский край,Молочное животноводство,Козье молоко,106.25,руб/л
Хабаровский край,Мясное животноводство,Говядина,525.0,руб/кг
Хабаровский край,Мясное животноводство,Свинина,362.5,руб/кг
Хабаровский край,Птицеводство,Мясо птицы,275.0,руб/кг
Хабаровский край,Овцеводство,Баранина,812.5,руб/кг
Хабаровский край,Птицеводство,Яйца,11.25,руб/шт
Хабаровский край,Пчеловодство,Мёд,562.5,руб/кг
Амурская область,Молочное животноводство,Молоко,56.25,руб/л
Амурская область,Молочное животноводство,Козье молоко,106.25,руб/л
Амурская область,Мясное животноводство,Говядина,525.0,руб/кг
Амурская область,Мясное животноводство,Свинина,362.5,руб/кг
Амурская область,Птицеводство,Мясо птицы,275.0,руб/кг
Амурская область,Овцеводство,Баранина,812.5,руб/кг
Амурская область,Птицеводство,Яйца,11.25,руб/шт
Амурская область,Пчеловодство,Мёд,562.5,руб/кг
Магаданская область,Молочное животноводство,Молоко,56.25,руб/л
Магаданская область,Молочное животноводство,Козье молоко,106.25,руб/л
Магаданская область,Мясное животноводство,Говядина,525.0,руб/кг
Магаданская область,Мясное животноводство,Свинина,362.5,руб/кг
Магаданская область,Птицеводство,Мясо птицы,275.0,руб/кг
Магаданская область,Овцеводство,Баранина,812.5,руб/кг
Магаданская область,Птицеводство,Яйца,11.25,руб/шт
Магаданская область,Пчеловодство,Мёд,562.5,руб/кг
Сахалинская область,Молочное животноводство,Молоко,56.25,руб/л
Сахалинская область,Молочное животноводство,Козье молоко,106.25,руб/л
Сахалинская область,Мясное животноводство,Говядина,525.0,руб/кг
Сахалинская область,Мясное животноводство,Свинина,362.5,руб/кг
Сахалинская область,Птицеводство,Мясо птицы,275.0,руб/кг
Сахалинская область,Овцеводство,Баранина,812.5,руб/кг
Сахалинская область,Птицеводство,Яйца,11.25,руб/шт
Сахалинская область,Пчеловодство,Мёд,562.5,руб/кг
Еврейская автономная область,Молочное животноводство,Молоко,56.25,руб/л
Еврейская автономная область,Молочное животноводство,Козье молоко,106.25,руб/л
Еврейская автономная область,Мясное животноводство,Говядина,525.0,руб/кг
Еврейская автономная область,Мясное животноводство,Свинина,362.5,руб/кг
Еврейская автономная область,Птицеводство,Мясо птицы,275.0,руб/кг
Еврейская автономная область,Овцеводство,Баранина,812.5,руб/кг
Еврейская автономная область,Птицеводство,Яйца,11.25,руб/шт
Еврейская автономная область,Пчеловодство,Мёд,562.5,руб/кг
Чукотский автономный округ,Молочное животноводство,Молоко,56.25,руб/л
Чукотский автономный округ,Молочное животноводство,Козье молоко,106.25,руб/л
Чукотский автономный округ,Мясное животноводство,Говядина,525.0,руб/кг
Чукотский автономный округ,Мясное животноводство,Свинина,362.5,руб/кг
Чукотский автономный округ,Птицеводство,Мясо птицы,275.0,руб/кг
Чукотский автономный округ,Овцеводство,Баранина,812.5,руб/кг
Чукотский автономный округ,Птицеводство,Яйца,11.25,руб/шт
Чукотский автономный округ,Пчеловодство,Мёд,562.5,руб/кг
